2176, 1920, 0
2176, 1920, 1
2176, 2944, 0
2176, 2944, 1
2176, 3968, 0
2176, 3968, 1
2176, 4992, 0
2176, 4992, 1
2176, 6016, 0
2176, 6016, 1
2176, 7040, 0
2176, 7040, 1
3200, 1920, 0
3200, 1920, 1
3200, 2944, 0
3200, 2944, 1
3200, 3968, 0
3200, 3968, 1
3200, 4992, 0
3200, 4992, 1
3200, 6016, 0
3200, 6016, 1
3200, 7040, 0
3200, 7040, 1
4224, 1920, 0
4224, 1920, 1
4224, 2944, 0
4224, 2944, 1
4224, 3968, 0
4224, 3968, 1
4224, 4992, 0
4224, 4992, 1
4224, 6016, 0
4224, 6016, 1
4224, 7040, 0
4224, 7040, 1
5248, 1920, 0
5248, 1920, 1
5248, 2944, 0
5248, 2944, 1
5248, 3968, 0
5248, 3968, 1
5248, 4992, 0
5248, 4992, 1
5248, 6016, 0
5248, 6016, 1
5248, 7040, 0
5248, 7040, 1
6272, 1920, 0
6272, 1920, 1
6272, 2944, 0
6272, 2944, 1
6272, 3968, 0
6272, 3968, 1
6272, 4992, 0
6272, 4992, 1
6272, 6016, 0
6272, 6016, 1
6272, 7040, 0
6272, 7040, 1
7296, 1920, 0
7296, 1920, 1
7296, 2944, 0
7296, 2944, 1
7296, 3968, 0
7296, 3968, 1
7296, 4992, 0
7296, 4992, 1
7296, 6016, 0
7296, 6016, 1
7296, 7040, 0
7296, 7040, 1
8320, 1920, 0
8320, 1152, 1
8320, 2944, 0
8320, 2176, 1
8320, 3968, 0
8320, 3200, 1
8320, 4992, 0
8320, 4224, 1
8320, 6016, 0
8320, 5248, 1
8320, 7040, 0
8320, 6272, 1
1152, 1920, 0
1152, 1152, 1
1152, 2944, 0
1152, 2176, 1
1152, 3968, 0
1152, 3200, 1
1152, 4992, 0
1152, 4224, 1
1152, 6016, 0
1152, 5248, 1
1152, 7040, 0
1152, 6272, 1
1152, 8064, 0
1152, 7296, 1
8320, 7040, 0
8320, 6272, 1
1152, 7040, 0
1715, 7040, 1
2176, 7040, 0
2739, 7040, 1
3200, 7040, 0
3763, 7040, 1
4224, 7040, 0
4787, 7040, 1
5248, 7040, 0
5811, 7040, 1
6272, 7040, 0
6835, 7040, 1
7296, 7040, 0
7859, 7040, 1
8320, 7040, 0
8883, 7040, 1
8320, 8064, 0
8320, 7296, 1
